Date,Volume,Open,Close,High,Low
8/10/2023,2014434,853.12,842.9,861.5,837.07
8/9/2023,2464434,882.72,850.73,883.53,848.7201
8/8/2023,1407189,890.09,883.16,890.6,873.4
8/7/2023,1113683,887.68,897.06,897.37,885.266
8/4/2023,2115184,884.98,881.65,893.62,873.3715
8/3/2023,1826455,886.62,884.98,895.33,881.08
8/2/2023,2659539,912.3,892.3,913,890.29
8/1/2023,1965603,898.98,920,920.62,897.7008
7/31/2023,1494279,897.5,898.65,901,891
7/28/2023,1862050,899.32,899.79,903.56,893.95
7/27/2023,2190412,908.5,893.53,909.85,886
7/26/2023,1985566,909,893.09,910.62,887.65
7/25/2023,1994461,900.62,917.99,923.18,900.62
7/24/2023,1997300,900.8,901.59,905.44,894.23
7/21/2023,7521463,904.49,896.75,911.15,893.83
7/20/2023,2821650,892.54,888.34,906.9999,886
7/19/2023,2408964,897.27,901.37,905.965,885.63
7/18/2023,2450750,905.98,903.43,909.9,898.2601
7/17/2023,2681486,891.01,910.35,913.21,889.78
7/14/2023,1850064,886.16,888.58,903.35,886.16
7/13/2023,2588726,898.94,890.36,898.94,878.27
7/12/2023,2792638,889,889.95,897.59,882
7/11/2023,2549464,881.11,882.05,883,864.63
7/10/2023,3059317,848.28,877.73,879.17,848.28
7/7/2023,1940007,850.43,846.75,857.99,844.66
7/6/2023,2391044,845,848,853.9,844.33
7/5/2023,1443611,867.4,861.86,876.9,861.75
7/3/2023,903830,868.62,876.44,876.73,864.92
6/30/2023,2313092,868.52,867.43,874.57,864.33
6/29/2023,2337895,854.45,862.57,862.84,846.41
6/28/2023,1942942,838.73,847.94,858.53,837.06
6/27/2023,2479400,828.68,848.4,850,821
6/26/2023,2136234,825,821.63,837,820.22
6/23/2023,3740374,834.01,822.15,836.02,818.85
6/22/2023,2345794,845.09,842.43,848.91,835.31
6/21/2023,2299231,860,847.66,866,844.6
6/20/2023,2751361,862.66,868.03,877.07,861.0102
6/16/2023,6826868,889.275,868.11,889.95,865.445
6/15/2023,3356229,884.41,883.43,887.97,871.02
6/14/2023,4303032,855.9,886.18,888.54,847.22
6/13/2023,3900443,861.13,851.12,863.26,841
6/12/2023,5102514,811.12,855.36,858,811.12
6/9/2023,1289876,805.8,804.155,817.7489,804.03
6/8/2023,2190476,794.91,804.2,805.01,788.78
6/7/2023,2891255,789.82,792.63,805.45,787.51
6/6/2023,3778857,802,790,802,776.38
6/5/2023,2620523,809.2,802.3,809.2,794.48
6/2/2023,6277894,790.64,812,823.77,787.2
